anum,paper,family,table,lines,kinds
A124698,papers/A124/A124698.pdf,digit-window,,2,gf+recurrence
A124699,papers/A124/A124699.pdf,digit-window,,2,gf+recurrence
A124999,papers/A124/A124999.pdf,digit-window,,2,gf+recurrence
A125316,papers/A125/A125316.pdf,digit-window,,2,gf+recurrence
A125343,papers/A125/A125343.pdf,digit-window,,2,gf+recurrence
A125370,papers/A125/A125370.pdf,digit-window,,2,gf+recurrence
A125396,papers/A125/A125396.pdf,digit-window,,2,gf+recurrence
A125421,papers/A125/A125421.pdf,digit-window,,2,gf+recurrence
A125445,papers/A125/A125445.pdf,digit-window,,2,gf+recurrence
A125468,papers/A125/A125468.pdf,digit-window,,2,gf+recurrence
A126360,papers/A126/A126360.pdf,digit-window,,1,recurrence
A126362,papers/A126/A126362.pdf,digit-window,,1,recurrence
A126395,papers/A126/A126395.pdf,digit-window,,2,gf+recurrence
A126396,papers/A126/A126396.pdf,digit-window,,2,gf+recurrence
A126397,papers/A126/A126397.pdf,digit-window,,2,gf+recurrence
A126475,papers/A126/A126475.pdf,digit-window,,2,gf+recurrence
A126476,papers/A126/A126476.pdf,digit-window,,2,gf+recurrence
A126477,papers/A126/A126477.pdf,digit-window,,2,gf+recurrence
A126478,papers/A126/A126478.pdf,digit-window,,2,gf+recurrence
A126502,papers/A126/A126502.pdf,digit-window,,2,gf+recurrence
A126503,papers/A126/A126503.pdf,digit-window,,2,gf+recurrence
A126504,papers/A126/A126504.pdf,digit-window,,2,gf+recurrence
A126505,papers/A126/A126505.pdf,digit-window,,2,gf+recurrence
A126529,papers/A126/A126529.pdf,digit-window,,2,gf+recurrence
A126530,papers/A126/A126530.pdf,digit-window,,2,gf+recurrence
A126531,papers/A126/A126531.pdf,digit-window,,2,gf+recurrence
A183624,papers/A183/A183624.pdf,subblock-statistic,,2,gf+recurrence
A183625,papers/A183/A183625.pdf,subblock-statistic,,2,gf+recurrence
A183626,papers/A183/A183626.pdf,subblock-statistic,,2,gf+recurrence
A183627,papers/A183/A183627.pdf,subblock-statistic,,2,gf+recurrence
A183628,papers/A183/A183628.pdf,subblock-statistic,,1,recurrence
A183644,papers/A183/A183644.pdf,subblock-statistic,,2,gf+recurrence
A184209,papers/A184/A184209.pdf,subblock-statistic,,2,gf+recurrence
A184210,papers/A184/A184210.pdf,subblock-statistic,,1,recurrence
A184489,papers/A184/A184489.pdf,subblock-statistic,,2,gf+recurrence
A184490,papers/A184/A184490.pdf,subblock-statistic,,1,recurrence
A184491,papers/A184/A184491.pdf,subblock-statistic,,1,recurrence
A184540,papers/A184/A184540.pdf,lex-subblock,,2,gf+recurrence
A184541,papers/A184/A184541.pdf,lex-subblock,,3,gf+polynomial+recurrence
A184542,papers/A184/A184542.pdf,lex-subblock,,3,gf+polynomial+recurrence
A184543,papers/A184/A184543.pdf,lex-subblock,,3,gf+polynomial+recurrence
A184544,papers/A184/A184544.pdf,lex-subblock,,3,gf+polynomial+recurrence
A184556,papers/A184/A184556.pdf,subblock-statistic,,2,gf+recurrence
A184557,papers/A184/A184557.pdf,subblock-statistic,,1,recurrence
A184665,papers/A184/A184665.pdf,subblock-statistic,,2,gf+recurrence
A184666,papers/A184/A184666.pdf,subblock-statistic,,1,recurrence
A185405,papers/A185/A185405.pdf,cell-neighbour-count,,2,gf+recurrence
A185459,papers/A185/A185459.pdf,subblock-statistic,,2,gf+recurrence
A185460,papers/A185/A185460.pdf,subblock-statistic,,2,gf+recurrence
A185461,papers/A185/A185461.pdf,subblock-statistic,,2,gf+recurrence
A185462,papers/A185/A185462.pdf,subblock-statistic,,1,recurrence
A185463,papers/A185/A185463.pdf,subblock-statistic,,1,recurrence
A185464,papers/A185/A185464.pdf,subblock-statistic,,1,recurrence
A185465,papers/A185/A185465.pdf,subblock-statistic,,1,recurrence
A185535,papers/A185/A185535.pdf,cell-neighbour-count,,2,gf+recurrence
A185552,papers/A185/A185552.pdf,cell-neighbour-count,,2,gf+recurrence
A185553,papers/A185/A185553.pdf,cell-neighbour-count,,1,recurrence
A185572,papers/A185/A185572.pdf,subblock-statistic,,1,recurrence
A185761,papers/A185/A185761.pdf,subblock-statistic,,2,gf+recurrence
A185762,papers/A185/A185762.pdf,subblock-statistic,,2,gf+recurrence
A185763,papers/A185/A185763.pdf,subblock-statistic,,2,gf+recurrence
A185764,papers/A185/A185764.pdf,subblock-statistic,,2,gf+recurrence
A185765,papers/A185/A185765.pdf,subblock-statistic,,1,recurrence
A185766,papers/A185/A185766.pdf,subblock-statistic,,1,recurrence
A185767,papers/A185/A185767.pdf,subblock-statistic,,1,recurrence
A185771,papers/A185/A185771.pdf,subblock-statistic,,2,gf+recurrence
A185772,papers/A185/A185772.pdf,subblock-statistic,,1,recurrence
A185790,papers/A185/A185790.pdf,subblock-statistic,,2,gf+recurrence
A185791,papers/A185/A185791.pdf,subblock-statistic,,2,gf+recurrence
A185792,papers/A185/A185792.pdf,subblock-statistic,,1,recurrence
A185793,papers/A185/A185793.pdf,subblock-statistic,,1,recurrence
A185818,papers/A185/A185818.pdf,cell-neighbour-count,,2,gf+recurrence
A185899,papers/A185/A185899.pdf,cell-neighbour-count,,2,gf+recurrence
A185919,papers/A185/A185919.pdf,subblock-statistic,,1,recurrence
A185925,papers/A185/A185925.pdf,subblock-statistic,,2,gf+recurrence
A185926,papers/A185/A185926.pdf,subblock-statistic,,1,recurrence
A186133,papers/A186/A186133.pdf,subblock-statistic,,2,gf+recurrence
A186134,papers/A186/A186134.pdf,subblock-statistic,,1,recurrence
A186135,papers/A186/A186135.pdf,subblock-statistic,,1,recurrence
A186161,papers/A186/A186161.pdf,cell-neighbour-count,,2,gf+recurrence
A186162,papers/A186/A186162.pdf,cell-neighbour-count,,1,recurrence
A186454,papers/A186/A186454.pdf,commuting-subblocks,,2,gf+recurrence
A186455,papers/A186/A186455.pdf,commuting-subblocks,,2,gf+recurrence
A186456,papers/A186/A186456.pdf,commuting-subblocks,,2,gf+recurrence
A186457,papers/A186/A186457.pdf,commuting-subblocks,,2,gf+recurrence
A186458,papers/A186/A186458.pdf,commuting-subblocks,,2,gf+recurrence
A186459,papers/A186/A186459.pdf,commuting-subblocks,,2,gf+recurrence
A186460,papers/A186/A186460.pdf,commuting-subblocks,,2,gf+recurrence
A186464,papers/A186/A186464.pdf,commuting-subblocks,,2,gf+recurrence
A186465,papers/A186/A186465.pdf,commuting-subblocks,,2,gf+recurrence
A186466,papers/A186/A186466.pdf,commuting-subblocks,,2,gf+recurrence
A186467,papers/A186/A186467.pdf,commuting-subblocks,,2,gf+recurrence
A186474,papers/A186/A186474.pdf,commuting-subblocks,,2,gf+recurrence
A186475,papers/A186/A186475.pdf,commuting-subblocks,,2,gf+recurrence
A186476,papers/A186/A186476.pdf,commuting-subblocks,,1,recurrence
A186528,papers/A186/A186528.pdf,subblock-statistic,,1,recurrence
A186529,papers/A186/A186529.pdf,subblock-statistic,,1,recurrence
A186560,papers/A186/A186560.pdf,commuting-subblocks,,1,recurrence
A187597,papers/A187/A187597.pdf,subblock-statistic,,1,recurrence
A188501,papers/A188/A188501.pdf,directional-pattern,,2,gf+recurrence
A188502,papers/A188/A188502.pdf,directional-pattern,,1,recurrence
A188503,papers/A188/A188503.pdf,directional-pattern,,1,recurrence
A188516,papers/A188/A188516.pdf,directional-pattern,,1,recurrence
A188517,papers/A188/A188517.pdf,directional-pattern,,2,gf+recurrence
A188518,papers/A188/A188518.pdf,directional-pattern,,1,recurrence
A188519,papers/A188/A188519.pdf,directional-pattern,,1,recurrence
A188555,papers/A188/A188555.pdf,directional-pattern,,3,gf+polynomial+recurrence
A188556,papers/A188/A188556.pdf,directional-pattern,,3,gf+polynomial+recurrence
A188557,papers/A188/A188557.pdf,directional-pattern,,3,gf+polynomial+recurrence
A188558,papers/A188/A188558.pdf,directional-pattern,,3,gf+polynomial+recurrence
A188559,papers/A188/A188559.pdf,directional-pattern,,3,gf+polynomial+recurrence
A188561,papers/A188/A188561.pdf,directional-pattern,,1,recurrence
A188562,papers/A188/A188562.pdf,directional-pattern,,1,recurrence
A188563,papers/A188/A188563.pdf,directional-pattern,,1,recurrence
A188601,papers/A188/A188601.pdf,directional-pattern,,1,recurrence
A188602,papers/A188/A188602.pdf,directional-pattern,,1,recurrence
A188603,papers/A188/A188603.pdf,directional-pattern,,1,recurrence
A188608,papers/A188/A188608.pdf,directional-pattern,,1,recurrence
A188609,papers/A188/A188609.pdf,directional-pattern,,1,recurrence
A188689,papers/A188/A188689.pdf,directional-pattern,,1,recurrence
A188690,papers/A188/A188690.pdf,directional-pattern,,1,recurrence
A188691,papers/A188/A188691.pdf,directional-pattern,,1,recurrence
A188700,papers/A188/A188700.pdf,directional-pattern,,2,gf+recurrence
A188701,papers/A188/A188701.pdf,directional-pattern,,2,gf+recurrence
A188702,papers/A188/A188702.pdf,directional-pattern,,1,recurrence
A188703,papers/A188/A188703.pdf,directional-pattern,,1,recurrence
A188704,papers/A188/A188704.pdf,directional-pattern,,1,recurrence
A188705,papers/A188/A188705.pdf,directional-pattern,,1,recurrence
A188708,papers/A188/A188708.pdf,directional-pattern,,2,gf+recurrence
A188709,papers/A188/A188709.pdf,directional-pattern,,2,gf+recurrence
A188710,papers/A188/A188710.pdf,directional-pattern,,2,gf+recurrence
A188711,papers/A188/A188711.pdf,directional-pattern,,1,recurrence
A188712,papers/A188/A188712.pdf,directional-pattern,,1,recurrence
A188741,papers/A188/A188741.pdf,directional-pattern,,1,recurrence
A188742,papers/A188/A188742.pdf,directional-pattern,,1,recurrence
A188748,papers/A188/A188748.pdf,directional-pattern,,2,gf+recurrence
A188749,papers/A188/A188749.pdf,directional-pattern,,1,recurrence
A188750,papers/A188/A188750.pdf,directional-pattern,,1,recurrence
A188751,papers/A188/A188751.pdf,directional-pattern,,1,recurrence
A188757,papers/A188/A188757.pdf,directional-pattern,,1,recurrence
A188758,papers/A188/A188758.pdf,directional-pattern,,1,recurrence
A188759,papers/A188/A188759.pdf,directional-pattern,,1,recurrence
A188768,papers/A188/A188768.pdf,directional-pattern,,1,recurrence
A188769,papers/A188/A188769.pdf,directional-pattern,,1,recurrence
A188770,papers/A188/A188770.pdf,directional-pattern,,1,recurrence
A188819,papers/A188/A188819.pdf,directional-pattern,,2,gf+recurrence
A188820,papers/A188/A188820.pdf,directional-pattern,,2,gf+recurrence
A188821,papers/A188/A188821.pdf,directional-pattern,,3,gf+polynomial+recurrence
A188822,papers/A188/A188822.pdf,directional-pattern,,2,gf+recurrence
A188823,papers/A188/A188823.pdf,directional-pattern,,2,gf+polynomial
A188825,papers/A188/A188825.pdf,directional-pattern,,1,recurrence
A188826,papers/A188/A188826.pdf,directional-pattern,,2,gf+recurrence
A188827,papers/A188/A188827.pdf,directional-pattern,,2,gf+recurrence
A188828,papers/A188/A188828.pdf,directional-pattern,,2,gf+recurrence
A188829,papers/A188/A188829.pdf,directional-pattern,,2,gf+recurrence
A188830,papers/A188/A188830.pdf,directional-pattern,,1,recurrence
A188838,papers/A188/A188838.pdf,directional-pattern,,2,gf+polynomial
A188839,papers/A188/A188839.pdf,directional-pattern,,2,gf+polynomial
A188840,papers/A188/A188840.pdf,directional-pattern,,2,gf+polynomial
A188841,papers/A188/A188841.pdf,directional-pattern,,2,gf+polynomial
A188842,papers/A188/A188842.pdf,directional-pattern,,1,polynomial
A188845,papers/A188/A188845.pdf,directional-pattern,,1,recurrence
A188846,papers/A188/A188846.pdf,directional-pattern,,1,recurrence
A188847,papers/A188/A188847.pdf,directional-pattern,,1,recurrence
A188848,papers/A188/A188848.pdf,directional-pattern,,1,recurrence
A188852,papers/A188/A188852.pdf,directional-pattern,,1,recurrence
A188853,papers/A188/A188853.pdf,directional-pattern,,1,recurrence
A188854,papers/A188/A188854.pdf,directional-pattern,,1,recurrence
A188861,papers/A188/A188861.pdf,directional-pattern,,3,gf+polynomial+recurrence
A188862,papers/A188/A188862.pdf,directional-pattern,,2,gf+polynomial
A188863,papers/A188/A188863.pdf,directional-pattern,,2,gf+polynomial
A188864,papers/A188/A188864.pdf,directional-pattern,,2,gf+polynomial
A188865,papers/A188/A188865.pdf,directional-pattern,,3,gf+polynomial+recurrence
A188868,papers/A188/A188868.pdf,directional-pattern,,1,recurrence
A188869,papers/A188/A188869.pdf,directional-pattern,,2,gf+recurrence
A188870,papers/A188/A188870.pdf,directional-pattern,,1,recurrence
A188871,papers/A188/A188871.pdf,directional-pattern,,1,recurrence
A188872,papers/A188/A188872.pdf,directional-pattern,,1,recurrence
A188875,papers/A188/A188875.pdf,directional-pattern,,1,recurrence
A188876,papers/A188/A188876.pdf,directional-pattern,,1,recurrence
A188905,papers/A188/A188905.pdf,directional-pattern,,1,recurrence
A188906,papers/A188/A188906.pdf,directional-pattern,,1,recurrence
A188953,papers/A188/A188953.pdf,index-change,,1,recurrence
A188959,papers/A188/A188959.pdf,index-change,,1,recurrence
A188986,papers/A188/A188986.pdf,directional-pattern,,2,gf+recurrence
A188987,papers/A188/A188987.pdf,directional-pattern,,2,gf+recurrence
A188988,papers/A188/A188988.pdf,directional-pattern,,2,gf+recurrence
A188989,papers/A188/A188989.pdf,directional-pattern,,1,recurrence
A188990,papers/A188/A188990.pdf,directional-pattern,,1,recurrence
A188993,papers/A188/A188993.pdf,directional-pattern,,1,recurrence
A188994,papers/A188/A188994.pdf,directional-pattern,,1,recurrence
A188995,papers/A188/A188995.pdf,directional-pattern,,1,recurrence
A189059,papers/A189/A189059.pdf,directional-pattern,,2,gf+recurrence
A189060,papers/A189/A189060.pdf,directional-pattern,,1,recurrence
A189061,papers/A189/A189061.pdf,directional-pattern,,1,recurrence
A189062,papers/A189/A189062.pdf,directional-pattern,,1,recurrence
A189065,papers/A189/A189065.pdf,directional-pattern,,1,recurrence
A189066,papers/A189/A189066.pdf,directional-pattern,,1,recurrence
A189105,papers/A189/A189105.pdf,directional-pattern,,2,gf+recurrence
A189106,papers/A189/A189106.pdf,directional-pattern,,1,recurrence
A189107,papers/A189/A189107.pdf,directional-pattern,,1,recurrence
A189108,papers/A189/A189108.pdf,directional-pattern,,1,recurrence
A189112,papers/A189/A189112.pdf,directional-pattern,,1,recurrence
A189113,papers/A189/A189113.pdf,directional-pattern,,1,recurrence
A189154,papers/A189/A189154.pdf,directional-pattern,,2,gf+recurrence
A189155,papers/A189/A189155.pdf,directional-pattern,,1,recurrence
A189190,papers/A189/A189190.pdf,directional-pattern,,1,recurrence
A189191,papers/A189/A189191.pdf,directional-pattern,,1,recurrence
A189192,papers/A189/A189192.pdf,directional-pattern,,1,recurrence
A189197,papers/A189/A189197.pdf,directional-pattern,,2,gf+recurrence
A189198,papers/A189/A189198.pdf,directional-pattern,,1,recurrence
A189199,papers/A189/A189199.pdf,directional-pattern,,1,recurrence
A189200,papers/A189/A189200.pdf,directional-pattern,,1,recurrence
A189258,papers/A189/A189258.pdf,directional-pattern,,2,gf+recurrence
A189259,papers/A189/A189259.pdf,directional-pattern,,1,recurrence
A189260,papers/A189/A189260.pdf,directional-pattern,,1,recurrence
A189261,papers/A189/A189261.pdf,directional-pattern,,1,recurrence
A189265,papers/A189/A189265.pdf,directional-pattern,,1,recurrence
A189266,papers/A189/A189266.pdf,directional-pattern,,1,recurrence
A189336,papers/A189/A189336.pdf,directional-pattern,,1,recurrence
A189337,papers/A189/A189337.pdf,directional-pattern,,1,recurrence
A189612,papers/A189/A189612.pdf,directional-pattern,,1,recurrence
A189613,papers/A189/A189613.pdf,directional-pattern,,1,recurrence
A189614,papers/A189/A189614.pdf,directional-pattern,,1,recurrence
A189618,papers/A189/A189618.pdf,directional-pattern,,1,recurrence
A189619,papers/A189/A189619.pdf,directional-pattern,,1,recurrence
A189690,papers/A189/A189690.pdf,directional-pattern,,1,recurrence
A189691,papers/A189/A189691.pdf,directional-pattern,,1,recurrence
A189692,papers/A189/A189692.pdf,directional-pattern,,1,recurrence
A189697,papers/A189/A189697.pdf,directional-pattern,,1,recurrence
A189698,papers/A189/A189698.pdf,directional-pattern,,1,recurrence
A190025,papers/A190/A190025.pdf,commuting-subblocks,,2,gf+recurrence
A190026,papers/A190/A190026.pdf,commuting-subblocks,,2,gf+recurrence
A190027,papers/A190/A190027.pdf,commuting-subblocks,,2,gf+recurrence
A190028,papers/A190/A190028.pdf,commuting-subblocks,,2,gf+recurrence
A195956,papers/A195/A195956.pdf,neighbour-count-equals-value,,2,gf+recurrence
A195957,papers/A195/A195957.pdf,neighbour-count-equals-value,,1,recurrence
A195964,papers/A195/A195964.pdf,neighbour-count-equals-value,,2,gf+recurrence
A195972,papers/A195/A195972.pdf,neighbour-count-equals-value,,2,gf+recurrence
A195973,papers/A195/A195973.pdf,neighbour-count-equals-value,,2,gf+recurrence
A196012,papers/A196/A196012.pdf,neighbour-count-equals-value,,2,gf+recurrence
A196072,papers/A196/A196072.pdf,neighbour-count-equals-value,,2,gf+recurrence
A196073,papers/A196/A196073.pdf,neighbour-count-equals-value,,2,gf+recurrence
A196132,papers/A196/A196132.pdf,neighbour-count-equals-value,,2,gf+recurrence
A196133,papers/A196/A196133.pdf,neighbour-count-equals-value,,1,recurrence
A196140,papers/A196/A196140.pdf,neighbour-count-equals-value,,1,recurrence
A196141,papers/A196/A196141.pdf,neighbour-count-equals-value,,2,gf+recurrence
A196204,papers/A196/A196204.pdf,neighbour-count-equals-value,,2,gf+recurrence
A196205,papers/A196/A196205.pdf,neighbour-count-equals-value,,2,gf+recurrence
A196212,papers/A196/A196212.pdf,neighbour-count-equals-value,,2,gf+recurrence
A196213,papers/A196/A196213.pdf,neighbour-count-equals-value,,1,recurrence
A196282,papers/A196/A196282.pdf,neighbour-count-equals-value,,1,recurrence
A196294,papers/A196/A196294.pdf,neighbour-count-equals-value,,2,gf+recurrence
A196295,papers/A196/A196295.pdf,neighbour-count-equals-value,,1,recurrence
A196316,papers/A196/A196316.pdf,neighbour-count-equals-value,,2,gf+recurrence
A196317,papers/A196/A196317.pdf,neighbour-count-equals-value,,2,gf+recurrence
A196324,papers/A196/A196324.pdf,neighbour-count-equals-value,,2,gf+recurrence
A196332,papers/A196/A196332.pdf,neighbour-count-equals-value,,1,recurrence
A196423,papers/A196/A196423.pdf,neighbour-count-equals-value,,1,recurrence
A196424,papers/A196/A196424.pdf,neighbour-count-equals-value,,1,recurrence
A196425,papers/A196/A196425.pdf,neighbour-count-equals-value,,1,recurrence
A196431,papers/A196/A196431.pdf,neighbour-count-equals-value,,2,gf+recurrence
A196450,papers/A196/A196450.pdf,neighbour-count-equals-value,,2,gf+recurrence
A196451,papers/A196/A196451.pdf,neighbour-count-equals-value,,1,recurrence
A196479,papers/A196/A196479.pdf,neighbour-count-equals-value,,2,gf+recurrence
A196480,papers/A196/A196480.pdf,neighbour-count-equals-value,,1,recurrence
A196488,papers/A196/A196488.pdf,neighbour-count-equals-value,,2,gf+recurrence
A196537,papers/A196/A196537.pdf,neighbour-count-equals-value,,1,recurrence
A196538,papers/A196/A196538.pdf,neighbour-count-equals-value,,1,recurrence
A196539,papers/A196/A196539.pdf,neighbour-count-equals-value,,1,recurrence
A196573,papers/A196/A196573.pdf,neighbour-count-equals-value,,2,gf+recurrence
A196584,papers/A196/A196584.pdf,neighbour-count-equals-value,,2,gf+recurrence
A196585,papers/A196/A196585.pdf,neighbour-count-equals-value,,1,recurrence
A196596,papers/A196/A196596.pdf,neighbour-count-equals-value,,2,gf+recurrence
A196630,papers/A196/A196630.pdf,neighbour-count-equals-value,,2,gf+recurrence
A196631,papers/A196/A196631.pdf,neighbour-count-equals-value,,2,gf+recurrence
A196648,papers/A196/A196648.pdf,neighbour-count-equals-value,,1,recurrence
A196680,papers/A196/A196680.pdf,neighbour-count-equals-value,,1,recurrence
A196690,papers/A196/A196690.pdf,neighbour-count-equals-value,,2,gf+recurrence
A196691,papers/A196/A196691.pdf,neighbour-count-equals-value,,1,recurrence
A196701,papers/A196/A196701.pdf,neighbour-count-equals-value,,2,gf+recurrence
A196702,papers/A196/A196702.pdf,neighbour-count-equals-value,,1,recurrence
A196713,papers/A196/A196713.pdf,neighbour-count-equals-value,,1,recurrence
A196741,papers/A196/A196741.pdf,neighbour-count-equals-value,,2,gf+recurrence
A196781,papers/A196/A196781.pdf,neighbour-count-equals-value,,2,gf+recurrence
A196797,papers/A196/A196797.pdf,neighbour-count-equals-value,,1,recurrence
A196804,papers/A196/A196804.pdf,neighbour-count-equals-value,,2,gf+recurrence
A196850,papers/A196/A196850.pdf,neighbour-count-equals-value,,2,gf+recurrence
A196851,papers/A196/A196851.pdf,neighbour-count-equals-value,,1,recurrence
A196858,papers/A196/A196858.pdf,neighbour-count-equals-value,,2,gf+recurrence
A196899,papers/A196/A196899.pdf,neighbour-count-equals-value,,2,gf+recurrence
A196906,papers/A196/A196906.pdf,neighbour-count-equals-value,,2,gf+recurrence
A196907,papers/A196/A196907.pdf,neighbour-count-equals-value,,1,recurrence
A196917,papers/A196/A196917.pdf,neighbour-count-equals-value,,2,gf+recurrence
A196945,papers/A196/A196945.pdf,neighbour-count-equals-value,,1,recurrence
A196952,papers/A196/A196952.pdf,neighbour-count-equals-value,,2,gf+recurrence
A196961,papers/A196/A196961.pdf,neighbour-count-equals-value,,2,gf+recurrence
A196962,papers/A196/A196962.pdf,neighbour-count-equals-value,,1,recurrence
A196969,papers/A196/A196969.pdf,neighbour-count-equals-value,,1,recurrence
A196976,papers/A196/A196976.pdf,neighbour-count-equals-value,,2,gf+recurrence
A196977,papers/A196/A196977.pdf,neighbour-count-equals-value,,1,recurrence
A196984,papers/A196/A196984.pdf,neighbour-count-equals-value,,2,gf+recurrence
A197042,papers/A197/A197042.pdf,neighbour-count-equals-value,,1,recurrence
A197056,papers/A197/A197056.pdf,neighbour-count-equals-value,,1,recurrence
A197064,papers/A197/A197064.pdf,neighbour-count-equals-value,,1,recurrence
A197074,papers/A197/A197074.pdf,neighbour-count-equals-value,,1,recurrence
A197085,papers/A197/A197085.pdf,neighbour-count-equals-value,,1,recurrence
A197092,papers/A197/A197092.pdf,neighbour-count-equals-value,,2,gf+recurrence
A197093,papers/A197/A197093.pdf,neighbour-count-equals-value,,1,recurrence
A197162,papers/A197/A197162.pdf,neighbour-count-equals-value,,1,recurrence
A197174,papers/A197/A197174.pdf,neighbour-count-equals-value,,2,gf+recurrence
A197175,papers/A197/A197175.pdf,neighbour-count-equals-value,,1,recurrence
A197201,papers/A197/A197201.pdf,neighbour-count-equals-value,,2,gf+recurrence
A197202,papers/A197/A197202.pdf,neighbour-count-equals-value,,1,recurrence
A197211,papers/A197/A197211.pdf,neighbour-count-equals-value,,2,gf+recurrence
A197212,papers/A197/A197212.pdf,neighbour-count-equals-value,,2,gf+recurrence
A197229,papers/A197/A197229.pdf,neighbour-count-equals-value,,2,gf+recurrence
A197244,papers/A197/A197244.pdf,neighbour-count-equals-value,,2,gf+recurrence
A197245,papers/A197/A197245.pdf,neighbour-count-equals-value,,1,recurrence
A197274,papers/A197/A197274.pdf,neighbour-count-equals-value,,2,gf+recurrence
A197275,papers/A197/A197275.pdf,neighbour-count-equals-value,,1,recurrence
A197302,papers/A197/A197302.pdf,neighbour-count-equals-value,,1,recurrence
A197311,papers/A197/A197311.pdf,neighbour-count-equals-value,,2,gf+recurrence
A197312,papers/A197/A197312.pdf,neighbour-count-equals-value,,1,recurrence
A197337,papers/A197/A197337.pdf,neighbour-count-equals-value,,2,gf+recurrence
A197344,papers/A197/A197344.pdf,neighbour-count-equals-value,,2,gf+recurrence
A197345,papers/A197/A197345.pdf,neighbour-count-equals-value,,1,recurrence
A197359,papers/A197/A197359.pdf,neighbour-count-equals-value,,1,recurrence
A197368,papers/A197/A197368.pdf,neighbour-count-equals-value,,2,gf+recurrence
A197396,papers/A197/A197396.pdf,neighbour-count-equals-value,,1,recurrence
A197403,papers/A197/A197403.pdf,neighbour-count-equals-value,,2,gf+recurrence
A197404,papers/A197/A197404.pdf,neighbour-count-equals-value,,1,recurrence
A197426,papers/A197/A197426.pdf,neighbour-count-equals-value,,1,recurrence
A197444,papers/A197/A197444.pdf,neighbour-count-equals-value,,2,gf+recurrence
A197445,papers/A197/A197445.pdf,neighbour-count-equals-value,,1,recurrence
A197469,papers/A197/A197469.pdf,neighbour-count-equals-value,,2,gf+recurrence
A197470,papers/A197/A197470.pdf,neighbour-count-equals-value,,1,recurrence
A197497,papers/A197/A197497.pdf,neighbour-count-equals-value,,2,gf+recurrence
A197498,papers/A197/A197498.pdf,neighbour-count-equals-value,,1,recurrence
A197524,papers/A197/A197524.pdf,neighbour-count-equals-value,,2,gf+recurrence
A197531,papers/A197/A197531.pdf,neighbour-count-equals-value,,2,gf+recurrence
A197532,papers/A197/A197532.pdf,neighbour-count-equals-value,,1,recurrence
A197539,papers/A197/A197539.pdf,neighbour-count-equals-value,,2,gf+recurrence
A197540,papers/A197/A197540.pdf,neighbour-count-equals-value,,1,recurrence
A197556,papers/A197/A197556.pdf,neighbour-count-equals-value,,1,recurrence
A197607,papers/A197/A197607.pdf,neighbour-count-equals-value,,2,gf+recurrence
A197608,papers/A197/A197608.pdf,neighbour-count-equals-value,,1,recurrence
A197617,papers/A197/A197617.pdf,neighbour-count-equals-value,,2,gf+recurrence
A197618,papers/A197/A197618.pdf,neighbour-count-equals-value,,1,recurrence
A197642,papers/A197/A197642.pdf,neighbour-count-equals-value,,2,gf+recurrence
A197643,papers/A197/A197643.pdf,neighbour-count-equals-value,,1,recurrence
A197666,papers/A197/A197666.pdf,neighbour-count-equals-value,,2,gf+recurrence
A197667,papers/A197/A197667.pdf,neighbour-count-equals-value,,1,recurrence
A197674,papers/A197/A197674.pdf,neighbour-count-equals-value,,1,recurrence
A197745,papers/A197/A197745.pdf,neighbour-count-equals-value,,1,recurrence
A197777,papers/A197/A197777.pdf,neighbour-count-equals-value,,1,recurrence
A197800,papers/A197/A197800.pdf,neighbour-count-equals-value,,1,recurrence
A197883,papers/A197/A197883.pdf,neighbour-count-equals-value,,2,gf+recurrence
A197884,papers/A197/A197884.pdf,neighbour-count-equals-value,,1,recurrence
A197891,papers/A197/A197891.pdf,neighbour-count-equals-value,,1,recurrence
A198008,papers/A198/A198008.pdf,neighbour-count-equals-value,,1,recurrence
A198150,papers/A198/A198150.pdf,neighbour-count-equals-value,,1,recurrence
A198179,papers/A198/A198179.pdf,neighbour-count-equals-value,,2,gf+recurrence
A198180,papers/A198/A198180.pdf,neighbour-count-equals-value,,1,recurrence
A198620,papers/A198/A198620.pdf,cell-neighbour-count,,2,gf+recurrence
A198621,papers/A198/A198621.pdf,cell-neighbour-count,,1,recurrence
A198648,papers/A198/A198648.pdf,cell-neighbour-count,,2,gf+recurrence
A198649,papers/A198/A198649.pdf,cell-neighbour-count,,1,recurrence
A198655,papers/A198/A198655.pdf,cell-neighbour-count,,2,gf+recurrence
A198656,papers/A198/A198656.pdf,cell-neighbour-count,,1,recurrence
A198662,papers/A198/A198662.pdf,cell-neighbour-count,,2,gf+recurrence
A198663,papers/A198/A198663.pdf,cell-neighbour-count,,1,recurrence
A198702,papers/A198/A198702.pdf,cell-neighbour-count,,1,recurrence
A198710,papers/A198/A198710.pdf,cell-neighbour-count,,2,gf+recurrence
A198717,papers/A198/A198717.pdf,cell-neighbour-count,,2,gf+recurrence
A198900,papers/A198/A198900.pdf,cell-neighbour-count,,2,gf+recurrence
A198901,papers/A198/A198901.pdf,cell-neighbour-count,,2,gf+recurrence
A198908,papers/A198/A198908.pdf,cell-neighbour-count,,2,gf+recurrence
A198976,papers/A198/A198976.pdf,cell-neighbour-count,,2,gf+recurrence
A199142,papers/A199/A199142.pdf,cell-neighbour-count,,2,gf+recurrence
A199143,papers/A199/A199143.pdf,cell-neighbour-count,,1,recurrence
A199144,papers/A199/A199144.pdf,cell-neighbour-count,,1,recurrence
